"player","player_num","position","height","weight","birthdate","country","experience","college","team_stat_ranking","age","games","games_started","minutes_played","field_goals","field_goal_attempts","field_goal_percent","points3","points3_attempts","points3_percent","points2","points2_attempts","points2_percent","effective_field_goal_percent","free_throws","free_throw_attempts","free_throw_percent","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points","team_salary_ranking","salary","team"
"Zaza Pachulia",27,"center",83,270,"1984-02-10","ge",12,NA,5,31,76,69,2004,219,470,0.466,0,3,0,219,467,0.469,0.466,212,276,0.768,249,469,718,128,64,22,119,181,650,5,5200000,"DAL"
"Axel Toupane",6,"small forward",79,197,"1992-07-23","fr",0,NA,16,23,21,0,305,25,70,0.357,13,40,0.325,12,30,0.4,0.45,13,17,0.765,8,23,31,15,7,6,6,40,76,20,123552,"DEN"
"D.J. Augustin",12,"point guard",72,183,"1987-11-10","us",7,"University of Texas at Austin",11,28,28,0,659,102,229,0.445,44,107,0.411,58,122,0.475,0.541,77,94,0.819,3,49,52,132,25,2,54,44,325,9,3000000,"DEN"
"Danilo Gallinari",8,"small forward",82,225,"1988-08-08","it",6,NA,4,27,53,53,1839,287,700,0.41,87,239,0.364,200,461,0.434,0.472,375,432,0.868,52,229,281,135,42,19,77,87,1036,1,14000000,"DEN"
"Darrell Arthur",0,"power forward",81,235,"1988-03-25","us",6,"University of Kansas",7,27,70,16,1516,221,489,0.452,45,117,0.385,176,372,0.473,0.498,40,53,0.755,86,207,293,96,53,48,66,185,527,10,2814000,"DEN"
"Emmanuel Mudiay",0,"point guard",77,200,"1996-03-05","cd",0,NA,3,19,68,66,2068,329,905,0.364,74,232,0.319,255,673,0.379,0.404,140,209,0.67,32,200,232,372,65,35,217,141,872,8,3102240,"DEN"
"Erick Green",11,"point guard",76,185,"1991-05-09","us",1,"Virginia Polytechnic Institute and State University",19,24,3,0,7,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,1,1,1,0,0,0,0,0,21,100000,"DEN"
"Gary Harris",14,"shooting guard",76,210,"1994-09-14","us",1,"Michigan State University",1,21,76,76,2439,359,765,0.469,105,297,0.354,254,468,0.543,0.538,109,133,0.82,54,166,220,147,97,18,98,143,932,13,1587480,"DEN"
"J.J. Hickson",7,"center",81,242,"1988-09-04","us",7,"North Carolina State University",15,27,20,9,305,55,109,0.505,0,0,NA,55,109,0.505,0.505,27,59,0.458,22,65,87,16,10,12,16,35,137,4,5613500,"DEN"
"JaKarr Sampson",9,"small forward",81,214,"1993-03-20","us",1,"St. John's University",13,22,26,22,469,54,115,0.47,8,29,0.276,46,86,0.535,0.504,18,25,0.72,16,45,61,16,12,17,19,51,134,19,285489,"DEN"
"Jameer Nelson",1,"point guard",72,190,"1982-02-09","us",11,"Saint Joseph's University",10,33,39,15,1036,113,307,0.368,43,144,0.299,70,163,0.429,0.438,30,35,0.857,19,96,115,190,25,5,66,100,299,5,4500000,"DEN"
"Joffrey Lauvergne",77,"center",83,220,"1991-09-30","fr",1,NA,9,24,59,15,1041,195,380,0.513,13,53,0.245,182,327,0.557,0.53,62,69,0.899,77,213,290,56,13,15,54,115,465,12,1709720,"DEN"
"Jusuf Nurkic",23,"center",84,280,"1994-08-23","ba",1,NA,12,21,32,3,547,101,242,0.417,0,3,0,101,239,0.423,0.417,61,99,0.616,65,110,175,40,24,44,55,91,263,11,1842000,"DEN"
"Kenneth Faried",35,"power forward",80,228,"1989-11-19","us",4,"Morehead State University",6,26,67,64,1694,349,626,0.558,1,2,0.5,348,624,0.558,0.558,136,222,0.613,235,346,581,79,32,60,91,169,835,2,11235955,"DEN"
"Kostas Papanikolaou",16,"small forward",80,225,"1990-07-31","gr",1,NA,17,25,26,6,294,24,66,0.364,10,32,0.313,14,34,0.412,0.439,9,14,0.643,8,32,40,16,13,5,21,24,67,18,350000,"DEN"
"Mike Miller",3,"small forward",80,218,"1980-02-19","us",15,"University of Florida",14,35,47,2,373,22,62,0.355,19,52,0.365,3,10,0.3,0.508,0,0,NA,6,47,53,40,13,4,17,53,63,14,1499187,"DEN"
"Nikola Jokic",15,"center",82,250,"1995-02-19","rs",0,NA,5,20,80,55,1733,307,600,0.512,28,84,0.333,279,516,0.541,0.535,154,190,0.811,181,379,560,189,79,50,104,208,796,15,1300000,"DEN"
"Randy Foye",4,"shooting guard",76,213,"1983-09-24","us",9,"Villanova University",8,32,54,7,1070,117,333,0.351,50,169,0.296,67,164,0.409,0.426,39,47,0.83,16,89,105,112,26,16,58,83,323,NA,NA,"DEN"
"Sean Kilpatrick",6,"shooting guard",76,210,"1990-01-06","us",1,"University of Cincinnati",18,26,8,0,82,8,21,0.381,4,17,0.235,4,4,1,0.476,7,8,0.875,2,4,6,3,2,0,4,7,27,22,99418,"DEN"
"Will Barton",5,"shooting guard",78,175,"1991-01-06","us",3,"University of Memphis",2,25,82,1,2353,425,983,0.432,112,325,0.345,313,658,0.476,0.489,216,268,0.806,59,417,476,203,71,39,139,147,1178,7,3333333,"DEN"
"Andre Drummond",0,"center",83,279,"1993-08-10","us",3,"University of Connecticut",3,22,81,81,2666,552,1060,0.521,2,6,0.333,550,1054,0.522,0.522,208,586,0.355,395,803,1198,67,119,112,155,245,1314,7,3272091,"DET"
"Anthony Tolliver",43,"power forward",80,240,"1985-06-01","us",7,"Creighton University",7,30,72,5,1341,128,332,0.386,98,272,0.36,30,60,0.5,0.533,29,47,0.617,39,190,229,52,26,16,28,86,383,8,3000000,"DET"
"Aron Baynes",12,"center",82,260,"1986-12-09","nz",3,"Washington State University",8,29,81,1,1233,194,384,0.505,0,2,0,194,382,0.508,0.505,126,165,0.764,140,244,384,51,21,52,67,151,514,3,6500000,"DET"
"Brandon Jennings",7,"point guard",73,170,"1989-09-23","us",6,NA,12,26,23,1,416,53,143,0.371,24,77,0.312,29,66,0.439,0.455,27,38,0.711,5,41,46,70,11,2,22,24,157,NA,NA,"DET"
"Darrun Hilliard",6,"shooting guard",78,205,"1993-04-13","us",0,"Villanova University",13,22,38,2,383,52,131,0.397,19,50,0.38,33,81,0.407,0.469,29,40,0.725,5,40,45,27,9,1,19,28,152,17,525093,"DET"
"Ersan Ilyasova",23,"power forward",82,235,"1987-05-15","tr",7,NA,6,28,52,52,1434,216,508,0.425,78,215,0.363,138,293,0.471,0.502,79,109,0.725,99,183,282,55,38,27,59,120,589,NA,NA,"DET"
"Jodie Meeks",20,"shooting guard",76,210,"1987-08-21","us",6,"University of Kentucky",16,28,3,0,43,7,20,0.35,4,9,0.444,3,11,0.273,0.45,4,4,1,1,4,5,3,0,0,1,2,22,4,6270000,"DET"
"Joel Anthony",50,"center",81,245,"1982-08-09","ca",8,"University of Nevada, Las Vegas",15,33,19,0,96,6,10,0.6,0,0,NA,6,10,0.6,0.6,6,8,0.75,8,13,21,1,2,12,2,15,18,11,2500000,"DET"
"Justin Harper",32,"power forward",82,225,"1989-08-30","us",1,"University of Richmond",17,26,5,0,35,4,10,0.4,4,9,0.444,0,1,0,0.6,1,2,0.5,0,1,1,0,1,0,2,3,13,20,99418,"DET"
"Kentavious Caldwell-Pope",5,"shooting guard",77,205,"1993-02-18","us",2,"University of Georgia",2,22,76,76,2789,403,960,0.42,114,369,0.309,289,591,0.489,0.479,185,228,0.811,70,212,282,138,110,17,105,167,1105,9,2891760,"DET"
"Marcus Morris",13,"small forward",81,235,"1989-09-02","us",4,"University of Kansas",1,26,80,80,2856,410,945,0.434,108,298,0.362,302,647,0.467,0.491,203,271,0.749,91,313,404,201,67,23,140,170,1131,6,5000000,"DET"
"Reggie Bullock",25,"small forward",79,205,"1991-03-16","us",2,"University of North Carolina",11,24,37,0,429,43,98,0.439,22,53,0.415,21,45,0.467,0.551,14,15,0.933,14,54,68,27,10,2,8,29,122,15,1252440,"DET"
"Reggie Jackson",1,"point guard",75,208,"1990-04-16","it",4,"Boston College",4,25,79,79,2424,540,1244,0.434,118,334,0.353,422,910,0.464,0.482,291,337,0.864,58,195,253,492,59,11,223,187,1489,2,14000000,"DET"
"Spencer Dinwiddie",8,"point guard",78,200,"1993-04-06","us",1,"University of Colorado",14,22,12,0,159,19,54,0.352,1,10,0.1,18,44,0.409,0.361,19,33,0.576,4,13,17,22,3,0,7,20,58,16,845059,"DET"
"Stanley Johnson",3,"small forward",79,245,"1996-05-29","us",0,"University of Arizona",5,19,73,6,1687,225,600,0.375,63,205,0.307,162,395,0.41,0.428,80,102,0.784,58,248,306,118,55,12,114,178,593,10,2841960,"DET"
"Steve Blake",22,"point guard",75,172,"1980-02-26","us",12,"University of Maryland",9,35,58,2,986,93,240,0.388,52,151,0.344,41,89,0.461,0.496,16,20,0.8,9,80,89,200,24,5,81,70,254,13,2170465,"DET"
"Tobias Harris",34,"power forward",81,235,"1992-07-15","us",4,"University of Tennessee",10,23,27,25,903,166,348,0.477,33,88,0.375,133,260,0.512,0.524,82,90,0.911,25,143,168,70,18,12,30,62,447,1,16000000,"DET"
"Anderson Varejao",18,"center",82,273,"1982-09-28","br",11,NA,14,33,22,0,186,21,48,0.438,0,0,NA,21,48,0.438,0.438,16,29,0.552,13,37,50,15,5,5,6,35,58,16,458575,"GSW"
"Andre Iguodala",9,"small forward",78,215,"1984-01-28","us",11,"University of Arizona",5,32,65,1,1732,176,368,0.478,54,154,0.351,122,214,0.57,0.552,51,83,0.614,52,211,263,219,73,19,79,102,457,4,11710456,"GSW"
"Andrew Bogut",12,"center",84,260,"1984-11-28","au",10,"University of Utah",7,31,70,66,1451,175,279,0.627,1,1,1,174,278,0.626,0.629,24,50,0.48,121,371,492,162,33,114,83,221,375,3,12000000,"GSW"
"Brandon Rush",4,"shooting guard",78,220,"1985-07-07","us",7,"University of Kansas",9,30,72,25,1055,111,260,0.427,65,157,0.414,46,103,0.447,0.552,18,28,0.643,21,160,181,57,20,23,33,57,305,12,1270964,"GSW"
"Draymond Green",23,"power forward",79,230,"1990-03-04","us",3,"Michigan State University",1,25,81,81,2808,401,819,0.49,100,258,0.388,301,561,0.537,0.551,229,329,0.696,134,635,769,598,119,113,259,240,1131,2,14300000,"GSW"
"Festus Ezeli",31,"center",83,255,"1989-10-21","ng",2,"Vanderbilt University",11,26,46,13,770,125,228,0.548,0,0,NA,125,228,0.548,0.548,70,132,0.53,91,166,257,32,18,50,38,94,320,11,2008748,"GSW"
"Harrison Barnes",40,"small forward",80,210,"1992-05-30","us",3,"University of North Carolina",4,23,66,59,2042,295,633,0.466,82,214,0.383,213,419,0.508,0.531,102,134,0.761,77,248,325,117,41,10,57,136,774,8,3873398,"GSW"
"Ian Clark",21,"shooting guard",75,175,"1991-03-07","us",2,"Belmont University",12,24,66,1,578,89,202,0.441,30,84,0.357,59,118,0.5,0.515,28,34,0.824,13,55,68,64,17,13,43,58,236,14,947276,"GSW"
"James Michael McAdoo",20,"power forward",81,230,"1993-01-04","us",1,"University of North Carolina",13,23,41,1,262,45,84,0.536,1,2,0.5,44,82,0.537,0.542,26,49,0.531,30,28,58,17,10,8,16,39,117,15,845059,"GSW"
"Jason Thompson",1,"center",83,250,"1986-07-21","us",7,"Rider University",15,29,28,1,179,20,42,0.476,0,0,NA,20,42,0.476,0.476,20,32,0.625,10,44,54,19,4,8,7,40,60,6,6431250,"GSW"
"Kevon Looney",36,"power forward",81,220,"1996-02-06","us",0,"University of California, Los Angeles",16,19,5,0,21,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,NA,4,6,10,0,0,0,1,2,9,13,1131960,"GSW"
"Klay Thompson",11,"shooting guard",79,215,"1990-02-08","us",4,"Washington State University",3,25,80,80,2666,651,1386,0.47,276,650,0.425,375,736,0.51,0.569,193,221,0.873,35,271,306,166,60,49,138,152,1771,1,15500000,"GSW"
"Leandro Barbosa",19,"shooting guard",75,194,"1982-11-28","br",12,NA,8,33,68,0,1079,171,370,0.462,39,110,0.355,132,260,0.508,0.515,52,62,0.839,28,89,117,82,44,10,53,107,433,10,2500000,"GSW"
"Marreese Speights",5,"center",82,255,"1987-08-04","us",7,"University of Florida",10,28,72,0,832,197,456,0.432,24,62,0.387,173,394,0.439,0.458,94,114,0.825,77,162,239,61,19,34,66,117,512,9,3815000,"GSW"
"Shaun Livingston",34,"point guard",79,192,"1985-09-11","us",10,NA,6,30,78,3,1520,203,379,0.536,2,12,0.167,201,367,0.548,0.538,80,93,0.86,42,127,169,237,57,27,78,140,488,7,5543725,"GSW"
"Stephen Curry",30,"point guard",75,190,"1988-03-14","us",6,"Davidson College",2,27,79,79,2700,805,1598,0.504,402,886,0.454,403,712,0.566,0.63,363,400,0.908,68,362,430,527,169,15,262,161,2375,5,11370786,"GSW"
"Andrew Goudelock",0,"point guard",75,200,"1988-12-07","us",2,"College of Charleston",16,27,8,0,50,9,20,0.45,1,9,0.111,8,11,0.727,0.475,3,4,0.75,1,1,2,4,6,2,7,4,22,17,200600,"HOU"
"Chuck Hayes",44,"center",78,240,"1983-06-11","us",10,"University of Kentucky",17,32,2,0,24,1,2,0.5,0,0,NA,1,2,0.5,0.5,2,2,1,0,8,8,2,0,0,3,6,4,18,83583,"HOU"
"Clint Capela",15,"center",82,240,"1994-05-18","ch",1,NA,6,21,77,35,1471,231,397,0.582,0,1,0,231,396,0.583,0.582,80,211,0.379,194,300,494,47,59,92,60,190,542,13,1242720,"HOU"
"Corey Brewer",33,"small forward",81,186,"1986-03-05","us",8,"University of Florida",5,29,82,12,1669,212,552,0.384,61,224,0.272,151,328,0.46,0.439,105,140,0.75,42,157,199,109,84,19,78,168,590,4,8200000,"HOU"
"Donatas Motiejunas",20,"power forward",84,222,"1990-09-20","lt",3,NA,11,25,37,22,547,90,205,0.439,16,57,0.281,74,148,0.5,0.478,34,53,0.642,37,72,109,41,17,5,44,69,230,9,2288205,"HOU"
"Dwight Howard",12,"center",83,265,"1985-12-08","us",11,NA,3,30,71,71,2280,372,600,0.62,0,6,0,372,594,0.626,0.62,232,474,0.489,238,597,835,98,69,113,166,219,976,1,22359364,"HOU"
"James Harden",13,"shooting guard",77,220,"1989-08-26","us",6,"Arizona State University",1,26,82,82,3125,710,1617,0.439,236,657,0.359,474,960,0.494,0.512,720,837,0.86,63,438,501,612,139,51,374,229,2376,2,15756438,"HOU"
"Jason Terry",31,"shooting guard",74,185,"1977-09-15","us",16,"University of Arizona",7,38,72,7,1258,151,376,0.402,93,261,0.356,58,115,0.504,0.525,27,33,0.818,14,65,79,103,47,9,49,91,422,11,1499187,"HOU"
"Josh Smith",5,"power forward",81,225,"1985-12-05","us",11,NA,12,30,23,6,421,58,169,0.343,23,85,0.271,35,84,0.417,0.411,12,25,0.48,18,49,67,48,16,13,36,56,151,12,1499000,"HOU"
"K.J. McDaniels",32,"small forward",78,205,"1993-02-09","us",1,"Clemson University",15,22,37,1,235,29,72,0.403,7,25,0.28,22,47,0.468,0.451,24,30,0.8,16,26,42,10,7,6,17,30,89,7,3333333,"HOU"
"Marcus Thornton",10,"shooting guard",76,205,"1987-06-05","us",6,"Louisiana State University",10,28,47,6,885,174,435,0.4,73,216,0.338,101,219,0.461,0.484,51,58,0.879,31,84,115,66,34,3,40,73,472,14,1186000,"HOU"
"Michael Beasley",8,"small forward",81,235,"1989-01-09","us",7,"Kansas State University",14,27,20,0,363,107,205,0.522,3,9,0.333,104,196,0.531,0.529,38,49,0.776,29,69,98,16,11,9,24,39,255,16,306527,"HOU"
"Montrezl Harrell",35,"power forward",80,240,"1994-01-26","us",0,"University of Louisville",13,22,39,1,379,58,90,0.644,0,1,0,58,89,0.652,0.644,24,46,0.522,25,40,65,17,11,11,17,48,140,15,1000000,"HOU"
"Patrick Beverley",2,"point guard",73,185,"1988-07-12","us",3,"University of Arkansas",4,27,71,63,2041,258,594,0.434,124,310,0.4,134,284,0.472,0.539,60,88,0.682,73,177,250,239,94,26,91,234,700,6,6500000,"HOU"
"Sam Dekker",7,"small forward",81,230,"1994-05-06","us",0,"University of Wisconsin",18,21,3,0,6,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,1,0,0,0,0,10,1646400,"HOU"
"Terrence Jones",6,"power forward",81,252,"1992-01-09","us",3,"University of Kentucky",9,24,50,11,1044,166,367,0.452,25,79,0.316,141,288,0.49,0.486,77,116,0.664,62,149,211,41,23,39,49,86,434,8,2489530,"HOU"
"Trevor Ariza",1,"small forward",80,215,"1985-06-30","us",11,"University of California, Los Angeles",2,30,81,81,2859,357,859,0.416,185,499,0.371,172,360,0.478,0.523,126,161,0.783,67,299,366,188,160,26,113,177,1025,5,8193030,"HOU"
"Ty Lawson",3,"point guard",71,195,"1987-11-03","us",6,"University of North Carolina",8,28,53,12,1176,111,287,0.387,31,94,0.33,80,193,0.415,0.441,56,80,0.7,20,69,89,180,43,6,82,71,309,3,12404495,"HOU"
"C.J. Miles",0,"small forward",78,225,"1987-04-18","us",10,NA,7,28,64,24,1464,259,634,0.409,142,387,0.367,117,247,0.474,0.521,93,124,0.75,25,150,175,63,53,29,70,142,753,6,4394225,"IND"
"Chase Budinger",10,"small forward",79,209,"1988-05-22","us",6,"University of Arizona",11,27,49,2,729,81,194,0.418,20,69,0.29,61,125,0.488,0.469,34,48,0.708,31,90,121,49,29,9,31,46,216,5,5000000,"IND"
"George Hill",3,"point guard",75,188,"1986-05-04","us",7,"Indiana University-Purdue University Indianapolis",3,29,74,73,2524,326,739,0.441,128,314,0.408,198,425,0.466,0.528,114,150,0.76,58,240,298,259,83,17,101,149,894,3,8000000,"IND"
"Glenn Robinson",40,"small forward",78,222,"1994-01-08","us",1,"University of Michigan",12,22,45,4,508,65,151,0.43,14,37,0.378,51,114,0.447,0.477,27,39,0.692,12,56,68,26,17,9,18,21,171,15,845000,"IND"
"Ian Mahinmi",28,"center",83,250,"1986-11-05","fr",7,NA,4,29,71,71,1816,264,448,0.589,0,0,NA,264,448,0.589,0.589,132,225,0.587,138,369,507,104,65,75,100,220,660,8,4000000,"IND"
"Joe Young",1,"point guard",74,180,"1992-06-27","us",0,"University of Oregon",13,23,41,0,384,62,169,0.367,10,46,0.217,52,123,0.423,0.396,20,25,0.8,6,44,50,65,15,0,33,30,154,NA,NA,"IND"
"Jordan Hill",27,"center",82,235,"1987-07-27","us",6,"University of Arizona",6,28,73,11,1513,278,549,0.506,0,1,0,278,548,0.507,0.506,89,125,0.712,156,295,451,87,36,37,92,155,645,7,4000000,"IND"
"Lavoy Allen",5,"power forward",81,260,"1989-02-04","us",4,"Temple University",5,26,79,28,1599,191,370,0.516,0,0,NA,191,370,0.516,0.516,46,73,0.63,162,262,424,76,26,42,69,147,428,9,3700000,"IND"
"Monta Ellis",11,"shooting guard",75,185,"1985-10-26","us",10,NA,2,30,81,81,2734,436,1021,0.427,87,282,0.309,349,739,0.472,0.47,162,206,0.786,42,229,271,383,150,37,203,174,1121,2,10300000,"IND"
"Myles Turner",33,"center",83,243,"1996-03-24","us",0,"University of Texas at Austin",8,19,60,30,1367,264,530,0.498,3,14,0.214,261,516,0.506,0.501,88,121,0.727,68,264,332,41,25,86,67,158,619,10,2357760,"IND"
"Paul George",13,"small forward",81,220,"1990-05-02","us",5,"California State University, Fresno",1,25,81,81,2819,605,1449,0.418,210,566,0.371,395,883,0.447,0.49,454,528,0.86,79,484,563,329,152,29,265,230,1874,1,17120106,"IND"
"Rakeem Christmas",25,"power forward",81,250,"1991-12-01","us",0,"Syracuse University",16,24,1,0,6,2,2,1,0,0,NA,2,2,1,1,0,0,NA,1,0,1,0,0,0,0,1,4,12,1000000,"IND"
"Rodney Stuckey",2,"point guard",77,210,"1986-04-21","us",8,"Eastern Washington University",9,29,58,1,1275,183,443,0.413,20,83,0.241,163,360,0.453,0.436,131,158,0.829,19,137,156,142,43,8,76,77,517,4,6500000,"IND"
"Shayne Whittington",42,"power forward",83,250,"1991-03-27","us",1,"Western Michigan University",15,24,7,0,41,5,11,0.455,0,2,0,5,9,0.556,0.455,1,2,0.5,5,7,12,3,1,1,5,7,11,14,845059,"IND"
"Solomon Hill",44,"small forward",79,225,"1991-03-18","us",2,"University of Arizona",10,24,59,3,866,93,208,0.447,24,74,0.324,69,134,0.515,0.505,36,42,0.857,39,127,166,57,37,11,33,68,246,11,1358880,"IND"
"Ty Lawson",10,"point guard",71,195,"1987-11-03","us",6,"University of North Carolina",14,28,13,1,235,28,67,0.418,5,14,0.357,23,53,0.434,0.455,3,6,0.5,6,25,31,57,10,1,13,16,64,17,265058,"IND"
"Alex Stepheson",35,"power forward",82,270,"1987-08-07","us",0,"University of Southern California",18,28,4,0,12,1,1,1,0,0,NA,1,1,1,1,0,2,0,1,1,2,0,0,2,0,4,2,18,61776,"LAC"
"Austin Rivers",25,"shooting guard",76,200,"1992-08-01","us",3,"Duke University",6,23,67,7,1464,226,516,0.438,62,185,0.335,164,331,0.495,0.498,79,116,0.681,22,108,130,99,48,9,61,137,593,8,3100000,"LAC"
"Blake Griffin",32,"power forward",82,251,"1989-03-16","us",5,"University of Oklahoma",9,26,35,35,1170,301,603,0.499,6,18,0.333,295,585,0.504,0.504,141,194,0.727,51,243,294,170,28,17,83,95,749,3,18907725,"LAC"
"Branden Dawson",22,"power forward",78,225,"1993-02-01","us",0,"Michigan State University",17,22,6,0,29,2,5,0.4,0,0,NA,2,5,0.4,0.4,1,1,1,2,2,4,0,0,1,0,2,5,15,525093,"LAC"
"C.J. Wilcox",30,"shooting guard",77,195,"1990-12-30","us",1,"University of Washington",15,25,23,0,167,26,66,0.394,9,23,0.391,17,43,0.395,0.462,9,12,0.75,1,11,12,10,10,2,2,15,70,10,1159680,"LAC"
"Chris Paul",3,"point guard",72,175,"1985-05-06","us",10,"Wake Forest University",2,30,74,74,2420,515,1114,0.462,122,329,0.371,393,785,0.501,0.517,294,328,0.896,39,271,310,738,152,13,194,185,1446,1,21468696,"LAC"
"Cole Aldrich",45,"center",83,250,"1988-10-31","us",5,"University of Kansas",11,27,60,5,800,134,225,0.596,0,0,NA,134,225,0.596,0.596,60,84,0.714,86,202,288,50,47,68,64,139,328,12,1100600,"LAC"
"DeAndre Jordan",6,"center",83,265,"1988-07-21","us",7,"Texas A&M University",1,27,77,77,2598,357,508,0.703,0,1,0,357,507,0.704,0.703,266,619,0.43,267,792,1059,90,51,177,107,207,980,2,19500000,"LAC"
"J.J. Redick",4,"shooting guard",76,190,"1984-06-24","us",9,"Duke University",4,31,75,75,2097,422,880,0.48,200,421,0.475,222,459,0.484,0.593,182,205,0.888,10,129,139,106,42,5,78,135,1226,5,6867000,"LAC"
"Jamal Crawford",11,"shooting guard",77,200,"1980-03-20","us",15,"University of Michigan",3,35,79,5,2126,379,939,0.404,117,344,0.34,262,595,0.44,0.466,245,271,0.904,20,125,145,183,52,12,113,122,1120,6,5675000,"LAC"
"Jeff Ayres",19,"center",81,240,"1987-04-29","us",5,"Arizona State University",16,28,17,0,107,12,23,0.522,0,1,0,12,22,0.545,0.522,6,6,1,4,18,22,5,0,3,6,18,30,16,317232,"LAC"
"Jeff Green",8,"small forward",81,235,"1986-08-28","us",7,"Georgetown University",12,29,27,10,709,114,267,0.427,25,77,0.325,89,190,0.468,0.474,40,65,0.615,19,72,91,40,18,21,24,62,293,4,9200000,"LAC"
"Josh Smith",5,"power forward",81,225,"1985-12-05","us",11,NA,14,30,32,1,459,69,180,0.383,18,58,0.31,51,122,0.418,0.433,25,42,0.595,33,92,125,42,18,34,41,62,181,NA,NA,"LAC"
"Lance Stephenson",1,"small forward",77,230,"1990-09-05","us",5,"University of Cincinnati",13,25,43,10,680,82,166,0.494,19,47,0.404,63,119,0.529,0.551,21,30,0.7,19,89,108,60,24,3,48,79,204,NA,NA,"LAC"
"Luc Mbah a Moute",12,"power forward",80,230,"1986-09-09","cm",7,"University of California, Los Angeles",7,29,75,61,1274,94,207,0.454,13,40,0.325,81,167,0.485,0.486,30,57,0.526,60,111,171,30,44,19,34,100,231,9,1270964,"LAC"
"Pablo Prigioni",9,"point guard",75,185,"1977-05-17","ar",3,NA,10,38,59,3,823,55,147,0.374,28,95,0.295,27,52,0.519,0.469,7,8,0.875,38,76,114,130,53,1,49,82,145,13,981348,"LAC"
"Paul Pierce",34,"small forward",79,235,"1977-10-13","us",17,"University of Kansas",8,38,68,38,1231,144,397,0.363,75,242,0.31,69,155,0.445,0.457,54,66,0.818,12,174,186,71,33,17,58,129,417,7,3400000,"LAC"
"Wesley Johnson",33,"small forward",79,215,"1987-07-11","us",5,"Syracuse University",5,28,80,9,1666,208,515,0.404,103,309,0.333,105,206,0.51,0.504,30,46,0.652,37,211,248,49,89,56,54,173,549,11,1100600,"LAC"
"Anthony Brown",3,"small forward",79,210,"1992-10-10","us",0,"Stanford University",11,23,29,11,599,39,126,0.31,20,70,0.286,19,56,0.339,0.389,17,20,0.85,9,61,70,19,14,5,15,34,115,14,700000,"LAL"
"Brandon Bass",2,"power forward",80,250,"1985-04-30","us",10,"Louisiana State University",7,30,66,0,1342,174,317,0.549,0,2,0,174,315,0.552,0.549,125,148,0.845,104,181,285,74,33,55,42,125,473,7,3000000,"LAL"
"D'Angelo Russell",1,"point guard",77,195,"1996-02-23","us",0,"Ohio State University",3,19,80,48,2259,392,956,0.41,130,370,0.351,262,586,0.447,0.478,140,190,0.737,47,227,274,266,93,13,196,142,1054,5,5103120,"LAL"
"Jordan Clarkson",6,"shooting guard",77,194,"1992-06-07","us",1,"University of Missouri",1,23,79,79,2552,475,1098,0.433,111,320,0.347,364,778,0.468,0.483,164,204,0.804,93,220,313,192,88,7,135,168,1225,12,845059,"LAL"
"Julius Randle",30,"power forward",81,250,"1994-11-29","us",1,"University of Kentucky",2,21,81,60,2286,358,835,0.429,10,36,0.278,348,799,0.436,0.435,193,270,0.715,172,657,829,144,53,29,149,242,919,6,3132240,"LAL"
"Kobe Bryant",24,"small forward",78,212,"1978-08-23","us",19,NA,6,37,66,66,1863,398,1113,0.358,133,467,0.285,265,646,0.41,0.417,232,281,0.826,41,206,247,184,62,13,129,115,1161,1,25000000,"LAL"
"Larry Nance Jr.",7,"power forward",81,230,"1993-01-01","us",0,"University of Wyoming",8,23,63,22,1266,158,300,0.527,1,10,0.1,157,290,0.541,0.528,32,47,0.681,101,211,312,44,54,23,41,124,349,10,1155600,"LAL"
"Lou Williams",23,"shooting guard",73,175,"1986-10-27","us",10,NA,4,29,67,35,1907,283,693,0.408,110,320,0.344,173,373,0.464,0.488,352,424,0.83,31,138,169,167,62,19,107,107,1028,3,7000000,"LAL"
"Marcelo Huertas",9,"point guard",75,200,"1983-05-25","br",0,NA,10,32,53,0,869,97,230,0.422,16,61,0.262,81,169,0.479,0.457,27,29,0.931,18,72,90,182,26,7,80,76,237,15,525093,"LAL"
"Metta World Peace",37,"small forward",78,260,"1979-11-13","us",15,"St. John's University",12,36,35,5,590,55,177,0.311,26,84,0.31,29,93,0.312,0.384,40,57,0.702,19,70,89,27,22,11,15,67,176,9,1499187,"LAL"
"Nick Young",0,"shooting guard",79,210,"1985-06-01","us",8,"University of Southern California",9,30,54,2,1033,126,372,0.339,77,237,0.325,49,135,0.363,0.442,63,76,0.829,14,83,97,34,23,7,30,50,392,4,5219169,"LAL"
"Robert Sacre",50,"center",84,270,"1989-06-06","us",3,"Gonzaga University",15,26,25,1,320,31,75,0.413,0,0,NA,31,75,0.413,0.413,25,38,0.658,32,40,72,14,4,10,12,43,87,11,981348,"LAL"
"Roy Hibbert",17,"center",86,270,"1986-12-11","us",7,"Georgetown University",5,29,81,81,1878,182,411,0.443,0,2,0,182,409,0.445,0.443,117,145,0.807,132,266,398,95,32,110,76,252,481,2,15500000,"LAL"
"Ryan Kelly",4,"power forward",83,230,"1991-04-09","us",2,"Duke University",14,24,36,0,470,55,149,0.369,5,37,0.135,50,112,0.446,0.386,37,54,0.685,21,100,121,20,13,10,18,39,152,8,1724250,"LAL"
